name,index,score
霸王别姬,1,9.5
肖申克的救赎,2,9.5
罗马假日,3,9.1
这个杀手不太冷,4,9.5
泰坦尼克号,5,9.5
唐伯虎点秋香,6,9.1
魂断蓝桥,7,9.2
乱世佳人,8,9.1
天空之城,9,9.0
辛德勒的名单,10,9.2
喜剧之王,11,9.1
大闹天宫,12,9.0
音乐之声,13,9.0
春光乍泄,14,9.2
剪刀手爱德华,15,8.8
美丽人生,16,9.3
海上钢琴师,17,9.2
黑客帝国,18,9.0
哈利·波特与魔法石,19,9.1
指环王3：王者无敌,20,9.2
蝙蝠侠：黑暗骑士,21,9.3
楚门的世界,22,8.9
加勒比海盗,23,8.9
射雕英雄传之东成西就,24,8.9
无间道,25,9.1
教父2,26,9.0
机器人总动员,27,9.3
指环王1：护戒使者,28,9.0
指环王2：双塔奇兵,29,9.1
狮子王,30,8.8
活着,31,9.0
天堂电影院,32,9.2
拯救大兵瑞恩,33,8.9
哈尔的移动城堡,34,9.0
忠犬八公的故事,35,9.3
疯狂原始人,36,9.5
盗梦空间,37,9.2
幽灵公主,38,8.9
东邪西毒,39,8.8
阿凡达,40,9.0
搏击俱乐部,41,8.8
风之谷,42,8.9
十二怒汉,43,9.1
V字仇杀队,44,8.8
当幸福来敲门,45,8.9
驯龙高手,46,9.0
速度与激情5,47,9.2
放牛班的春天,48,8.8
勇敢的心,49,8.8
神偷奶爸,50,9.0
闻香识女人,51,8.8
飞屋环游记,52,8.9
三傻大闹宝莱坞,53,9.1
怦然心动,54,8.9
断背山,55,9.0
黑客帝国3：矩阵革命,56,8.8
少年派的奇幻漂流,57,9.1
末代皇帝,58,8.8
鬼子来了,59,8.9
大话西游之月光宝盒,60,9.6
致命魔术,61,8.8
美丽心灵,62,8.8
无敌破坏王,63,9.1
哈利·波特与死亡圣器（下）,64,9.0
倩女幽魂,65,9.2
夜访吸血鬼,66,8.8
蝙蝠侠：黑暗骑士崛起,67,8.9
钢琴家,68,8.8
本杰明·巴顿奇事,69,8.8
甜蜜蜜,70,9.2
初恋这件小事,71,8.8
触不可及,72,9.1
新龙门客栈,73,8.8
熔炉,74,8.8
大话西游之大圣娶亲,75,8.8
小鞋子,76,9.0
教父,77,9.3
素媛,78,9.1
萤火之森,79,9.0
穿条纹睡衣的男孩,80,9.0
窃听风暴,81,9.0
时空恋旅人,82,8.9
7号房的礼物,83,8.9
恐怖直播,84,8.8
海豚湾,85,8.9
忠犬八公物语,86,9.0
上帝之城,87,8.9
美国往事,88,9.1
七武士,89,9.1
完美的世界,90,8.9
一一,91,8.9
英雄本色,92,9.2
阿飞正传,93,8.8
爱·回家,94,9.0
海洋,95,9.0
我爱你,96,9.0
黄金三镖客,97,8.9
迁徙的鸟,98,9.1
龙猫,99,9.1
千与千寻,100,9.3
name,index,score
霸王别姬,1,9.5
肖申克的救赎,2,9.5
罗马假日,3,9.1
这个杀手不太冷,4,9.5
泰坦尼克号,5,9.5
唐伯虎点秋香,6,9.1
魂断蓝桥,7,9.2
乱世佳人,8,9.1
天空之城,9,9.0
辛德勒的名单,10,9.2
喜剧之王,11,9.1
大闹天宫,12,9.0
音乐之声,13,9.0
春光乍泄,14,9.2
剪刀手爱德华,15,8.8
美丽人生,16,9.3
海上钢琴师,17,9.2
黑客帝国,18,9.0
哈利·波特与魔法石,19,9.1
指环王3：王者无敌,20,9.2
蝙蝠侠：黑暗骑士,21,9.3
楚门的世界,22,8.9
加勒比海盗,23,8.9
射雕英雄传之东成西就,24,8.9
无间道,25,9.1
教父2,26,9.0
机器人总动员,27,9.3
指环王1：护戒使者,28,9.0
指环王2：双塔奇兵,29,9.1
狮子王,30,8.8
活着,31,9.0
天堂电影院,32,9.2
拯救大兵瑞恩,33,8.9
哈尔的移动城堡,34,9.0
忠犬八公的故事,35,9.3
疯狂原始人,36,9.5
盗梦空间,37,9.2
幽灵公主,38,8.9
东邪西毒,39,8.8
阿凡达,40,9.0
搏击俱乐部,41,8.8
风之谷,42,8.9
十二怒汉,43,9.1
V字仇杀队,44,8.8
当幸福来敲门,45,8.9
速度与激情5,46,9.2
驯龙高手,47,9.0
放牛班的春天,48,8.8
勇敢的心,49,8.8
神偷奶爸,50,9.0
闻香识女人,51,8.8
飞屋环游记,52,8.9
三傻大闹宝莱坞,53,9.1
怦然心动,54,8.9
断背山,55,9.0
黑客帝国3：矩阵革命,56,8.8
少年派的奇幻漂流,57,9.1
末代皇帝,58,8.8
鬼子来了,59,8.9
大话西游之月光宝盒,60,9.6
致命魔术,61,8.8
美丽心灵,62,8.8
无敌破坏王,63,9.1
哈利·波特与死亡圣器（下）,64,9.0
倩女幽魂,65,9.2
夜访吸血鬼,66,8.8
蝙蝠侠：黑暗骑士崛起,67,8.9
钢琴家,68,8.8
本杰明·巴顿奇事,69,8.8
甜蜜蜜,70,9.2
初恋这件小事,71,8.8
触不可及,72,9.1
新龙门客栈,73,8.8
熔炉,74,8.8
大话西游之大圣娶亲,75,8.8
小鞋子,76,9.0
教父,77,9.3
素媛,78,9.1
萤火之森,79,9.0
穿条纹睡衣的男孩,80,9.0
窃听风暴,81,9.0
时空恋旅人,82,8.9
7号房的礼物,83,8.9
恐怖直播,84,8.8
海豚湾,85,8.9
忠犬八公物语,86,9.0
上帝之城,87,8.9
美国往事,88,9.1
七武士,89,9.1
完美的世界,90,8.9
一一,91,8.9
英雄本色,92,9.2
阿飞正传,93,8.8
爱·回家,94,9.0
海洋,95,9.0
我爱你,96,9.0
黄金三镖客,97,8.9
迁徙的鸟,98,9.1
龙猫,99,9.1
千与千寻,100,9.3
name,index,score
霸王别姬,1,9.5
肖申克的救赎,2,9.5
罗马假日,3,9.1
这个杀手不太冷,4,9.5
泰坦尼克号,5,9.5
唐伯虎点秋香,6,9.1
魂断蓝桥,7,9.2
乱世佳人,8,9.1
天空之城,9,9.0
辛德勒的名单,10,9.2
喜剧之王,11,9.1
大闹天宫,12,9.0
音乐之声,13,9.0
春光乍泄,14,9.2
剪刀手爱德华,15,8.8
美丽人生,16,9.3
海上钢琴师,17,9.2
黑客帝国,18,9.0
哈利·波特与魔法石,19,9.1
指环王3：王者无敌,20,9.2
蝙蝠侠：黑暗骑士,21,9.3
楚门的世界,22,8.9
加勒比海盗,23,8.9
射雕英雄传之东成西就,24,8.9
无间道,25,9.1
教父2,26,9.0
机器人总动员,27,9.3
指环王1：护戒使者,28,9.0
指环王2：双塔奇兵,29,9.1
狮子王,30,8.8
活着,31,9.0
天堂电影院,32,9.2
拯救大兵瑞恩,33,8.9
哈尔的移动城堡,34,9.0
忠犬八公的故事,35,9.3
疯狂原始人,36,9.5
盗梦空间,37,9.2
幽灵公主,38,8.9
东邪西毒,39,8.8
阿凡达,40,9.0
搏击俱乐部,41,8.8
风之谷,42,8.9
十二怒汉,43,9.1
V字仇杀队,44,8.8
当幸福来敲门,45,8.9
速度与激情5,46,9.2
驯龙高手,47,9.0
放牛班的春天,48,8.8
勇敢的心,49,8.8
神偷奶爸,50,9.0
闻香识女人,51,8.8
飞屋环游记,52,8.9
三傻大闹宝莱坞,53,9.1
怦然心动,54,8.9
断背山,55,9.0
黑客帝国3：矩阵革命,56,8.8
少年派的奇幻漂流,57,9.1
末代皇帝,58,8.8
鬼子来了,59,8.9
大话西游之月光宝盒,60,9.6
致命魔术,61,8.8
美丽心灵,62,8.8
无敌破坏王,63,9.1
哈利·波特与死亡圣器（下）,64,9.0
倩女幽魂,65,9.2
夜访吸血鬼,66,8.8
蝙蝠侠：黑暗骑士崛起,67,8.9
钢琴家,68,8.8
本杰明·巴顿奇事,69,8.8
甜蜜蜜,70,9.2
初恋这件小事,71,8.8
触不可及,72,9.1
新龙门客栈,73,8.8
熔炉,74,8.8
大话西游之大圣娶亲,75,8.8
小鞋子,76,9.0
教父,77,9.3
素媛,78,9.1
萤火之森,79,9.0
穿条纹睡衣的男孩,80,9.0
窃听风暴,81,9.0
时空恋旅人,82,8.9
7号房的礼物,83,8.9
恐怖直播,84,8.8
海豚湾,85,8.9
忠犬八公物语,86,9.0
上帝之城,87,8.9
美国往事,88,9.1
七武士,89,9.1
完美的世界,90,8.9
一一,91,8.9
英雄本色,92,9.2
阿飞正传,93,8.8
爱·回家,94,9.0
海洋,95,9.0
我爱你,96,9.0
黄金三镖客,97,8.9
迁徙的鸟,98,9.1
龙猫,99,9.1
千与千寻,100,9.3
